,Menu_Item,Category,Description,Price,Cost,Count,Revenue,COGS,Profit
0,burnt garlic tonkotsu ramen,entree,"rich, shoyi and burnt garlic seasoned niman ranch pork bone stock; slow braised niman ranch pork belly, hanjuku tamago, kikurage, sweet corn, nori, scallions",14.0,6,3385,47390.0,20310,27080.0
1,miso crab ramen,entree,"house miso crab blend + vegan dashi; slow braised niman ranch pork belly, crab meat, hanjuku tamago, kikurage, nori, scallions",12.0,6,3277,39324.0,19662,19662.0
2,nagomi shoyu,entree,"shoyu seasoned clear double stock (organic chick broth + house dashi); slow braised niman ranch pork belly, hanjuku tamago, nori, menma, scallions",11.0,5,3330,36630.0,16650,19980.0
3,shio ramen,entree,"sea salt seasoned clear double stock (organic chicken broth + house dashi); slow braised niman ranch pork belly, hanjuku tamago, kikurage, nori, scallions",11.0,5,3372,37092.0,16860,20232.0
4,soft-shell miso crab ramen,entree,"house miso crab blend + vegan dashi; fried whole soft-shell crab, hanjuku tamago, kikurage, nori, scallions",14.0,7,3371,47194.0,23597,23597.0
5,spicy miso ramen,entree,"house togarashi miso blend + niman ranch pork bone stock; slow braised niman ranch pork belly, hanjuku tamago, kikurage, nori, scallions",12.0,5,3401,40812.0,17005,23807.0
6,tonkotsu ramen,entree,"rich, shoyi seasoned niman ranch pork bone stock; slow braised niman ranch pork belly, hanjuku tamago, kikurage, nori, spring radish, scallions",13.0,6,3400,44200.0,20400,23800.0
7,tori paitan ramen,entree,"rich, shoyu seasoned double stock (organic chicken broth + house dashi); slow braised niman ranch pork belly, hanuku tamago, kikurage, nori, scllaions",13.0,6,3409,44317.0,20454,23863.0
8,truffle butter ramen,entree,"rich, shoyu seasoned niman ranch prok bone stock; truffle compound butter, slow braised niman ranch pork belly, kikurage, sweet corn, nori, scallions",14.0,7,3363,47082.0,23541,23541.0
9,vegetarian curry + king trumpet mushroom ramen,entree,"house curry blend + vegan dashi; fried king trumpet mushroom, tempura fried tofu, mung bean sprouts, kikurage, nori, scallions",13.0,7,3343,43459.0,23401,20058.0
10,vegetarian spicy miso,entree,"house togarashi miso blend + vegan dashi; tempura fried tofu, sweet corn, edamame, kikurage, nori, scallions; organic soy milk upon request",12.0,5,3411,40932.0,17055,23877.0
